Global Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
196404,-0.1074
196405,-0.0955
196406,-0.0729
196407,-0.0924
196408,-0.1472
196409,-0.1603
196410,-0.1612
196411,-0.2161
196412,-0.2278
196501,-0.1419
196502,-0.1120
196503,-0.1027
196504,-0.1071
196505,-0.0857
196506,-0.0387
196507,-0.0574
196508,0.0015
196509,0.0088
196510,-0.0139
196511,-0.0085
196512,-0.0117
196601,-0.0066
196602,-0.0097
196603,-0.0309
196604,-0.0002
196605,-0.0394
196606,0.0107
196607,0.0292
196608,0.0020
196609,0.0000
196610,-0.0176
196611,0.0121
196612,0.0140
196701,-0.0582
196702,-0.0766
196703,-0.0268
196704,-0.0446
196705,0.0481
196706,0.0324
196707,0.0242
196708,0.0515
196709,0.0097
196710,-0.0186
196711,-0.0601
196712,-0.0938
196801,-0.1299
196802,-0.1484
196803,-0.1278
196804,-0.0815
196805,-0.0278
196806,0.0562
196807,0.0368
196808,0.0502
196809,0.0749
196810,0.1165
196811,0.0970
196812,0.1308
196901,0.2194
196902,0.2146
196903,0.2062
196904,0.2340
196905,0.2406
196906,0.1260
196907,0.0928
196908,0.1405
196909,0.1509
196910,0.1123
196911,0.1119
196912,0.1581
197001,0.1576
197002,0.1213
197003,0.1081
197004,0.1078
197005,0.0598
197006,-0.0108
197007,-0.0535
197008,-0.0058
197009,0.0200
197010,0.0398
197011,0.0374
197012,-0.0470
197101,-0.0397
197102,-0.1437
197103,-0.1282
197104,-0.1078
197105,-0.0873
197106,-0.1051
197107,-0.0480
197108,-0.0599
197109,-0.0910
197110,-0.0970
197111,-0.1021
197112,-0.1114
197201,-0.0061
197202,0.0489
197203,0.0117
197204,0.0509
197205,0.0520
197206,0.0825
197207,0.1268
197208,0.1134
197209,0.1159
197210,0.1504
197211,0.1947
197212,0.2826
197301,0.2567
197302,0.2389
197303,0.1903
197304,0.1753
197305,0.1710
197306,0.1072
197307,0.0927
197308,0.0723
197309,0.0685
197310,0.0311
197311,0.0332
197312,-0.0682
197401,-0.0375
197402,-0.0912
197403,-0.0912
197404,-0.0858
197405,-0.0089
197406,-0.0135
197407,0.0108
197408,0.0633
197409,0.0180
197410,0.0137
197411,-0.0090
197412,-0.0107
197501,0.0277
197502,0.0224
197503,0.0055
197504,-0.0027
197505,0.0014
197506,-0.0274
197507,-0.0257
197508,-0.0492
197509,-0.0475
197510,-0.1153
197511,-0.1497
197512,-0.1619
197601,-0.1191
197602,-0.0887
197603,-0.0678
197604,-0.0648
197605,-0.0973
197606,-0.0049
197607,-0.0208
197608,-0.0231
197609,-0.0322
197610,0.0707
197611,0.1172
197612,0.1947
197701,0.2852
197702,0.2323
197703,0.2089
197704,0.1778
197705,0.1800
197706,0.1899
197707,0.1778
197708,0.1897
197709,0.2059
197710,0.1948
197711,0.1481
197712,0.1399
197801,0.1767
197802,0.1359
197803,0.1357
197804,0.0797
197805,0.0791
197806,0.1091
197807,0.1288
197808,0.1044
197809,0.1068
197810,0.0755
197811,0.1654
197812,0.1948
197901,0.2439
197902,0.1831
197903,0.2302
197904,0.2298
197905,0.1899
197906,0.2535
197907,0.2228
197908,0.2622
197909,0.2884
197910,0.2895
197911,0.3197
197912,0.3443
198001,0.3608
198002,0.3378
198003,0.3339
198004,0.2638
198005,0.2790
198006,0.2506
198007,0.2303
198008,0.2063
198009,0.2161
198010,0.1758
198011,0.2144
198012,0.2408
198101,0.2358
198102,0.1951
198103,0.2368
198104,0.2234
198105,0.2432
198106,0.2872
198107,0.2398
198108,0.2000
198109,0.1973
198110,0.2123
198111,0.2038
198112,0.2653
198201,0.2352
198202,0.1694
198203,0.1719
198204,0.1752
198205,0.2215
198206,0.1912
198207,0.1331
198208,0.1576
198209,0.2439
198210,0.2704
198211,0.2757
198212,0.3259
198301,0.3892
198302,0.3558
198303,0.3436
198304,0.3051
198305,0.2957
198306,0.3067
198307,0.2435
198308,0.2584
198309,0.2564
198310,0.2061
