BLS_2_Countries_(SRES)_ABBREVNAME,Fips_code,ISO3v10,WH_2000,RI_2000,MZ_2000,WHA1F2020,RIA1F2020,MZA1F2020,ActChWHA1F2020,ActChRIAIF2020,ActChMZA1F2020,WHA1F2050,RIA1F2050,MZA1F2050,ActChWHA1F2050,ActChRIAIF2050,ActChMZA1F2050,WHA1F2080,RIA1F2080,MZA1F2080,ActChWHA1F2080,ActChRIAIF2080,ActChMZA1F2080,WHA2a2020,RIA2a2020,MZA2a2020,ActChWHA2a2020,ActChRIA2a2020,ActChMZA2a2020,WHA2a2050,RIA2a2050,MZA2a2050,ActChWHA2a2050,ActChRIA2a2050,ActChMZA2a2050,WHA2a2080,RIA2a2080,MZA2a2080,ActChWHA2a2080,ActChRIA2a2080,ActChMZA2a2080,WHA2b2020,RIA2b2020,MZA2b2020,ActCHWHA2b2020,ActChRIA2b2020,ActChMZA2b2020,WHA2b2050,RIA2b2050,MZA2b2050,ActCHWHA2b2050,ActChRIA2b2050,ActChMZA2b2050,WHA2b2080,RIA2b2080,MZA2b2080,ActChWHA2b2080,ActChRIA2b2080,ActChMZA2b2080,WHA2c2020,RIA2c2020,MZA2c2020,ActChWHA2c2020,ActChRIA2c2020,ActChMZA2c2020,WHA2c2050,RIA2c2050,MZA2c2050,ActChWHA2c2050,ActChRIA2c2050,ActChMZA2c2050,WHA2c2080,RIA2c2080,MZA2c2080,ActChWHA2c2080,ActChRIA2c2080,ActChMZA2c2080,WHB1a2020,RIB1a2020,MZB1a2020,ActChWHB1a2020,ActChRIB1a2020,ActChMZB1a2020,WHB1a2050,RIB1a2050,MZB1a2050,ActChWHB1a2050,ActChRIB1a2050,ActChMZB1a2050,WHB1a2080,RIB1a2080,MZB1a2080,ActChWHB1a2080,ActChRIB1a2080,ActChMZB1a2080,WHB2a2020,RIB2a2020,MZB2a2020,ActChWHB2a2020,ActChRIB2a2020,ActChMZB2a2020,WHB2a2050,RIB2a2050,MZB2a2050,ActChWHB2a2050,ActChRIB2a2050,ActChMZB2a2050,WHB2a2080,RIB2a2080,MZB2a2080,ActChWHB2a2080,ActChRIB2a2080,ActChMZB2a2080,WHB2b2020,RIB2b2020,MZB2b2020,ActChWHB2b2020,ActChRIB2b2020,ActChMZB2b2020,WHB2b2050,RIB2b2050,MZB2b2050,ActChWHB2b2050,ActChRIB2b2050,ActChMZB2b2050,WHB2b2080,RIB2b2080,MZB2b2080,ActChWHB2b2080,ActChRIB2b2080,ActChMZB2b2080,COUNTRY,WH%GR,RI%GR,MZ%GR,A1FI2020,A1FI2050,A1FI2080,A2A2020,A2A2050,A2A2080,A2B2020,A2B2050,A2B2080,A2C2020,A2C2050,A2C2080,B1A2020,B1A2050,B1A2080,B2A2020,B2A2050,B2A2080,B2B2020,B2B2050,B2B2080
Egypt,EG,EGY,7125858.71,6105940.71,6624651.00,1.35,-0.65,-4.30,96080.58,-39790.17,-284720.13,-1.59,-2.59,-10.76,-112982.85,-157871.12,-712721.06,-20.10,-21.10,-22.56,-1432395.91,-1288437.73,-1494740.92,0.91,-1.09,-5.49,64596.82,-66767.68,-363428.79,0.71,-1.29,-9.48,50688.50,-78685.31,-628104.51,-9.00,-10.00,-17.64,-641584.29,-610814.29,-1168567.73,1.56,-0.44,-4.37,111416.21,-26649.51,-289442.77,1.66,-0.34,-8.23,118434.25,-20635.96,-545076.66,-6.05,-7.05,-14.73,-431057.00,-430419.59,-975846.56,1.87,-0.13,-3.87,133257.24,-7934.57,-256479.96,2.76,0.76,-8.00,197001.31,46685.87,-529653.14,-7.10,-8.10,-16.86,-505957.43,-494599.59,-1116943.89,0.35,-1.65,-5.06,24603.17,-101037.08,-335208.61,0.71,-0.29,-7.61,50508.12,-17780.47,-504218.97,-0.65,-3.65,-10.12,-46445.07,-222975.65,-670709.73,-0.86,-2.86,-7.59,-61472.57,-174792.87,-502995.22,-2.62,-3.62,-10.80,-186698.83,-221036.20,-715295.16,-4.79,-5.79,-13.62,-341603.90,-353769.83,-902023.34,0.25,-1.75,-5.74,17846.40,-106826.75,-380286.52,0.14,-0.86,-8.12,10317.65,-52218.52,-537628.05,-10.27,-11.27,-19.91,-731844.39,-688155.54,-1319104.97,Egypt,36.31,30.99,32.70,-0.37,-1.63,-7.07,-0.60,-1.08,-4.05,-0.33,-0.73,-3.07,-0.21,-0.46,-3.53,-0.68,-0.77,-1.56,-1.23,-1.87,-2.66,-0.78,-0.96,-4.58
El Salvador,ES,SLV,,31358.00,649121.71,-2.60,-4.60,-0.72,0.00,-1442.45,-4672.61,-0.22,-1.22,-2.96,0.00,-382.17,-19237.22,-1.52,-2.52,-6.96,0.00,-788.72,-45204.38,-1.24,-3.24,-0.51,0.00,-1015.65,-3328.01,-1.72,-3.72,-3.26,0.00,-1167.00,-21160.22,2.02,1.02,-5.39,0.00,318.53,-34965.19,-4.49,-6.49,-2.22,0.00,-2036.23,-14441.97,-1.72,-3.72,-3.67,0.00,-1166.60,-23833.40,2.24,1.24,-5.63,0.00,389.56,-36520.23,-1.83,-3.83,-1.07,0.00,-1200.69,-6973.60,-3.12,-5.12,-3.01,0.00,-1605.06,-19559.64,-0.92,-0.59,-6.71,0.00,-183.78,-43543.36,-6.12,-8.12,-3.71,0.00,-2547.22,-24101.28,-5.08,-6.08,-5.28,0.00,-1906.53,-34301.43,-4.66,-7.66,-6.79,0.00,-2401.72,-44071.39,-2.65,-4.65,-3.04,0.00,-1458.23,-19718.79,-2.57,-3.57,-4.03,0.00,-1119.30,-26183.70,-2.64,-3.64,-4.04,0.00,-1142.88,-26231.23,-2.93,-4.93,-1.95,0.00,-1545.93,-12680.15,-6.33,-7.33,-4.26,0.00,-2297.55,-27625.96,-3.49,-4.49,-4.29,0.00,-1407.87,-27842.61,El Salvador,0.00,8.07,91.93,-0.34,-0.94,-2.20,-0.24,-1.10,-1.62,-0.86,-1.23,-1.69,-0.43,-1.06,-2.07,-1.36,-1.78,-2.29,-1.06,-1.33,-1.34,-0.73,-1.50,-1.44
Equatorial Guinea,EK,GNQ,,,,0.14,-1.86,-4.18,0.00,0.00,0.00,-1.98,-2.98,-10.07,0.00,0.00,0.00,-14.52,-15.52,-20.75,0.00,0.00,0.00,0.20,-1.80,-4.50,0.00,0.00,0.00,-0.26,-2.26,-8.86,0.00,0.00,0.00,-5.76,-6.76,-15.58,0.00,0.00,0.00,0.42,-1.58,-4.05,0.00,0.00,0.00,0.97,-1.03,-7.47,0.00,0.00,0.00,-4.17,-5.17,-14.01,0.00,0.00,0.00,0.84,-1.16,-3.53,0.00,0.00,0.00,1.85,-0.15,-7.03,0.00,0.00,0.00,-4.31,-5.31,-14.69,0.00,0.00,0.00,-0.40,-2.40,-4.60,0.00,0.00,0.00,-0.60,-1.60,-7.26,0.00,0.00,0.00,-2.25,-5.25,-9.99,0.00,0.00,0.00,-1.33,-3.33,-6.19,0.00,0.00,0.00,-2.58,-3.58,-9.16,0.00,0.00,0.00,-4.49,-5.49,-12.40,0.00,0.00,0.00,-0.76,-2.76,-5.25,0.00,0.00,0.00,-1.59,-2.59,-8.22,0.00,0.00,0.00,-6.42,-7.42,-14.74,0.00,0.00,0.00,Equatorial Guinea,1.00,1.00,1.00,-0.02,-0.05,-0.17,-0.02,-0.04,-0.09,-0.02,-0.03,-0.08,-0.01,-0.02,-0.08,-0.02,-0.03,-0.06,-0.04,-0.05,-0.07,-0.03,-0.04,-0.10
Eritrea,ER,ERI,7386.71,,4243.57,0.14,-1.86,-4.18,10.43,0.00,-177.46,-1.98,-2.98,-10.07,-146.52,0.00,-427.33,-14.52,-15.52,-20.75,-1072.58,0.00,-880.60,0.20,-1.80,-4.50,14.85,0.00,-190.76,-0.26,-2.26,-8.86,-19.11,0.00,-375.77,-5.76,-6.76,-15.58,-425.81,0.00,-661.26,0.42,-1.58,-4.05,31.02,0.00,-171.71,0.97,-1.03,-7.47,71.94,0.00,-317.04,-4.17,-5.17,-14.01,-308.27,0.00,-594.69,0.84,-1.16,-3.53,61.85,0.00,-149.95,1.85,-0.15,-7.03,136.44,0.00,-298.44,-4.31,-5.31,-14.69,-318.12,0.00,-623.24,-0.40,-2.40,-4.60,-29.56,0.00,-195.32,-0.60,-1.60,-7.26,-44.47,0.00,-308.17,-2.25,-5.25,-9.99,-166.20,0.00,-423.77,-1.33,-3.33,-6.19,-97.94,0.00,-262.72,-2.58,-3.58,-9.16,-190.26,0.00,-388.90,-4.49,-5.49,-12.40,-331.46,0.00,-526.14,-0.76,-2.76,-5.25,-55.85,0.00,-222.85,-1.59,-2.59,-8.22,-117.43,0.00,-348.82,-6.42,-7.42,-14.74,-474.42,0.00,-625.65,Eritrea,66.67,0.00,33.33,-0.43,-1.56,-5.53,-0.45,-1.04,-3.01,-0.36,-0.61,-2.48,-0.21,-0.37,-2.59,-0.60,-0.94,-1.61,-0.98,-1.59,-2.37,-0.75,-1.27,-3.07
Estonia,EN,EST,178962.86,,,-4.91,-6.91,-7.91,-8778.42,0.00,0.00,-7.18,-8.18,-14.18,-12849.80,0.00,0.00,-3.83,-4.83,-13.83,-6862.03,0.00,0.00,-5.73,-7.73,-8.73,-10245.83,0.00,0.00,-6.30,-8.30,-13.30,-11277.96,0.00,0.00,-1.83,-2.83,-12.83,-3278.18,0.00,0.00,-4.40,-6.40,-7.40,-7879.33,0.00,0.00,-6.77,-8.77,-13.77,-12114.51,0.00,0.00,-3.00,-4.00,-14.00,-5363.09,0.00,0.00,-2.98,-4.98,-5.98,-5329.99,0.00,0.00,-6.83,-8.83,-13.83,-12216.20,0.00,0.00,-3.42,-4.42,-14.42,-6112.69,0.00,0.00,-7.88,-9.88,-10.88,-14110.39,0.00,0.00,-6.10,-7.10,-11.10,-10922.94,0.00,0.00,-8.41,-11.41,-14.41,-15045.94,0.00,0.00,-8.86,-10.86,-11.86,-15852.74,0.00,0.00,-7.17,-8.17,-12.17,-12832.94,0.00,0.00,-5.83,-6.83,-12.83,-10425.64,0.00,0.00,-5.99,-7.99,-8.99,-10714.21,0.00,0.00,-10.00,-11.00,-15.00,-17889.90,0.00,0.00,-7.38,-8.38,-14.38,-13199.72,0.00,0.00,Estonia,100.00,0.00,0.00,-1.64,-2.39,-1.28,-1.91,-2.10,-0.61,-1.47,-2.26,-1.00,-0.99,-2.28,-1.14,-2.63,-2.03,-2.80,-2.95,-2.39,-1.94,-2.00,-3.33,-2.46
Ethiopia,ET,ETH,1879935.86,13665.14,3199788.29,0.14,-1.86,-4.18,2655.36,-254.00,-133810.83,-1.98,-2.98,-10.07,-37290.34,-407.71,-322223.16,-14.52,-15.52,-20.75,-272973.61,-2120.88,-663998.82,0.20,-1.80,-4.50,3779.13,-245.83,-143838.01,-0.26,-2.26,-8.86,-4864.09,-308.66,-283343.30,-5.76,-6.76,-15.58,-108369.82,-924.39,-498609.87,0.42,-1.58,-4.05,7894.93,-215.92,-129476.40,0.97,-1.03,-7.47,18309.38,-140.21,-239058.87,-4.17,-5.17,-14.01,-78455.67,-706.94,-448417.92,0.84,-1.16,-3.53,15740.21,-158.89,-113066.17,1.85,-0.15,-7.03,34724.14,-20.90,-225034.70,-4.31,-5.31,-14.69,-80963.36,-725.17,-469945.46,-0.40,-2.40,-4.60,-7521.94,-327.98,-147278.56,-0.60,-1.60,-7.26,-11317.80,-218.92,-232370.49,-2.25,-5.25,-9.99,-42297.07,-717.41,-319539.07,-1.33,-3.33,-6.19,-24926.60,-454.49,-198098.38,-2.58,-3.58,-9.16,-48422.45,-488.63,-293243.93,-4.49,-5.49,-12.40,-84357.79,-749.84,-396723.19,-0.76,-2.76,-5.25,-14213.78,-376.62,-168038.12,-1.59,-2.59,-8.22,-29886.93,-353.90,-263021.45,-6.42,-7.42,-14.74,-120739.84,-1014.30,-471759.30,Ethiopia,38.86,0.00,61.14,-0.83,-2.31,-6.11,-0.89,-1.84,-3.92,-0.77,-1.40,-3.40,-0.61,-1.19,-3.55,-0.99,-1.56,-2.33,-1.43,-2.20,-3.11,-1.17,-1.88,-3.84
Federal Rep. of Yugoslavia,YI,SCG,,,,-4.91,-6.91,-7.91,0.00,0.00,0.00,-7.18,-8.18,-14.18,0.00,0.00,0.00,-3.83,-4.83,-13.83,0.00,0.00,0.00,-5.73,-7.73,-8.73,0.00,0.00,0.00,-6.30,-8.30,-13.30,0.00,0.00,0.00,-1.83,-2.83,-12.83,0.00,0.00,0.00,-4.40,-6.40,-7.40,0.00,0.00,0.00,-6.77,-8.77,-13.77,0.00,0.00,0.00,-3.00,-4.00,-14.00,0.00,0.00,0.00,-2.98,-4.98,-5.98,0.00,0.00,0.00,-6.83,-8.83,-13.83,0.00,0.00,0.00,-3.42,-4.42,-14.42,0.00,0.00,0.00,-7.88,-9.88,-10.88,0.00,0.00,0.00,-6.10,-7.10,-11.10,0.00,0.00,0.00,-8.41,-11.41,-14.41,0.00,0.00,0.00,-8.86,-10.86,-11.86,0.00,0.00,0.00,-7.17,-8.17,-12.17,0.00,0.00,0.00,-5.83,-6.83,-12.83,0.00,0.00,0.00,-5.99,-7.99,-8.99,0.00,0.00,0.00,-10.00,-11.00,-15.00,0.00,0.00,0.00,-7.38,-8.38,-14.38,0.00,0.00,0.00,,21.92,0.00,78.08,-2.42,-4.22,-3.88,-2.69,-3.92,-3.47,-2.25,-4.08,-3.86,-1.77,-4.10,-4.00,-3.41,-3.34,-4.36,-3.73,-3.69,-3.76,-2.78,-4.63,-4.28
Federal Rep. of Yugoslavia,YI,SCG,,,,-4.91,-6.91,-7.91,0.00,0.00,0.00,-7.18,-8.18,-14.18,0.00,0.00,0.00,-3.83,-4.83,-13.83,0.00,0.00,0.00,-5.73,-7.73,-8.73,0.00,0.00,0.00,-6.30,-8.30,-13.30,0.00,0.00,0.00,-1.83,-2.83,-12.83,0.00,0.00,0.00,-4.40,-6.40,-7.40,0.00,0.00,0.00,-6.77,-8.77,-13.77,0.00,0.00,0.00,-3.00,-4.00,-14.00,0.00,0.00,0.00,-2.98,-4.98,-5.98,0.00,0.00,0.00,-6.83,-8.83,-13.83,0.00,0.00,0.00,-3.42,-4.42,-14.42,0.00,0.00,0.00,-7.88,-9.88,-10.88,0.00,0.00,0.00,-6.10,-7.10,-11.10,0.00,0.00,0.00,-8.41,-11.41,-14.41,0.00,0.00,0.00,-8.86,-10.86,-11.86,0.00,0.00,0.00,-7.17,-8.17,-12.17,0.00,0.00,0.00,-5.83,-6.83,-12.83,0.00,0.00,0.00,-5.99,-7.99,-8.99,0.00,0.00,0.00,-10.00,-11.00,-15.00,0.00,0.00,0.00,-7.38,-8.38,-14.38,0.00,0.00,0.00,,21.92,0.00,78.08,-2.42,-4.22,-3.88,-2.69,-3.92,-3.47,-2.25,-4.08,-3.86,-1.77,-4.10,-4.00,-3.41,-3.34,-4.36,-3.73,-3.69,-3.76,-2.78,-4.63,-4.28
Finland,FI,FIN,648928.57,,,-4.91,-6.91,-7.91,-31831.02,0.00,0.00,-7.18,-8.18,-14.18,-46594.05,0.00,0.00,-3.83,-4.83,-13.83,-24882.06,0.00,0.00,-5.73,-7.73,-8.73,-37151.91,0.00,0.00,-6.30,-8.30,-13.30,-40894.47,0.00,0.00,-1.83,-2.83,-12.83,-11886.87,0.00,0.00,-4.40,-6.40,-7.40,-28570.85,0.00,0.00,-6.77,-8.77,-13.77,-43927.82,0.00,0.00,-3.00,-4.00,-14.00,-19446.83,0.00,0.00,-2.98,-4.98,-5.98,-19326.82,0.00,0.00,-6.83,-8.83,-13.83,-44296.56,0.00,0.00,-3.42,-4.42,-14.42,-22164.92,0.00,0.00,-7.88,-9.88,-10.88,-51165.01,0.00,0.00,-6.10,-7.10,-11.10,-39607.15,0.00,0.00,-8.41,-11.41,-14.41,-54557.37,0.00,0.00,-8.86,-10.86,-11.86,-57482.85,0.00,0.00,-7.17,-8.17,-12.17,-46532.92,0.00,0.00,-5.83,-6.83,-12.83,-37803.91,0.00,0.00,-5.99,-7.99,-8.99,-38850.29,0.00,0.00,-10.00,-11.00,-15.00,-64869.70,0.00,0.00,-7.38,-8.38,-14.38,-47862.88,0.00,0.00,Finland,100.00,0.00,0.00,-1.64,-2.39,-1.28,-1.91,-2.10,-0.61,-1.47,-2.26,-1.00,-0.99,-2.28,-1.14,-2.63,-2.03,-2.80,-2.95,-2.39,-1.94,-2.00,-3.33,-2.46
France,FR,FRA,35750412.71,106130.86,14831270.57,4.19,2.19,-1.68,1499454.45,2328.75,-248781.44,9.28,8.28,-1.37,3318256.07,8789.47,-203738.59,7.48,6.48,1.19,2675657.48,6881.81,176559.65,5.67,3.67,-1.16,2025357.49,3889.98,-172102.64,9.20,7.20,-1.32,3290252.38,7645.03,-195336.65,13.14,12.14,0.45,4696988.52,12882.46,66500.72,3.49,1.49,-0.72,1247123.80,1579.67,-107433.95,8.92,6.92,-1.66,3187682.61,7340.53,-245521.34,13.15,12.15,0.77,4702188.99,12897.90,113622.95,3.34,1.34,-1.48,1195523.12,1426.49,-219125.73,9.07,7.07,-1.81,3243638.04,7506.64,-268474.01,13.51,12.51,0.44,4830377.77,13278.45,65880.95,1.61,-0.39,-1.71,574524.65,-417.05,-254248.86,5.28,4.28,-2.83,1888005.48,4543.54,-419876.52,6.86,3.86,-3.21,2453753.38,4100.44,-476000.87,3.66,2.31,-2.60,1307195.10,2454.70,-385976.13,5.13,4.13,-3.19,1833897.87,4382.91,-473220.95,7.24,6.24,-1.42,2589677.69,6626.57,-210059.59,3.16,1.16,-2.55,1129150.41,1229.45,-377470.91,5.50,4.50,-3.13,1965948.73,4774.93,-464038.87,8.85,7.85,-1.35,3165244.76,8335.23,-199682.75,France,71.05,0.23,28.72,0.83,2.07,1.89,1.23,2.06,3.16,0.76,1.96,3.20,0.65,1.98,3.25,0.22,0.98,1.32,0.62,0.91,1.58,0.51,1.01,1.97
French Guiana,FG,GUF,,23475.29,29.71,0.14,-1.86,-4.18,0.00,-436.35,-1.24,-1.98,-2.98,-10.07,0.00,-700.41,-2.99,-14.52,-15.52,-20.75,0.00,-3643.45,-6.17,0.20,-1.80,-4.50,0.00,-422.31,-1.34,-0.26,-2.26,-8.86,0.00,-530.24,-2.63,-5.76,-6.76,-15.58,0.00,-1588.00,-4.63,0.42,-1.58,-4.05,0.00,-370.92,-1.20,0.97,-1.03,-7.47,0.00,-240.87,-2.22,-4.17,-5.17,-14.01,0.00,-1214.45,-4.16,0.84,-1.16,-3.53,0.00,-272.95,-1.05,1.85,-0.15,-7.03,0.00,-35.90,-2.09,-4.31,-5.31,-14.69,0.00,-1245.76,-4.36,-0.40,-2.40,-4.60,0.00,-563.43,-1.37,-0.60,-1.60,-7.26,0.00,-376.08,-2.16,-2.25,-5.25,-9.99,0.00,-1232.43,-2.97,-1.33,-3.33,-6.19,0.00,-780.77,-1.84,-2.58,-3.58,-9.16,0.00,-839.42,-2.72,-4.49,-5.49,-12.40,0.00,-1288.15,-3.68,-0.76,-2.76,-5.25,0.00,-647.00,-1.56,-1.59,-2.59,-8.22,0.00,-607.96,-2.44,-6.42,-7.42,-14.74,0.00,-1742.47,-4.38,French Guiana,0.00,99.91,0.09,-0.62,-1.00,-5.18,-0.60,-0.75,-2.26,-0.53,-0.34,-1.73,-0.39,-0.05,-1.77,-0.80,-0.54,-1.75,-1.11,-1.19,-1.83,-0.92,-0.87,-2.48
Gabon,GB,GAB,,1000.00,28435.71,1.35,-0.65,-4.30,0.00,-6.52,-1222.14,-1.59,-2.59,-10.76,0.00,-25.86,-3059.29,-20.10,-21.10,-22.56,0.00,-211.01,-6416.04,0.91,-1.09,-5.49,0.00,-10.93,-1559.99,0.71,-1.29,-9.48,0.00,-12.89,-2696.08,-9.00,-10.00,-17.64,0.00,-100.04,-5015.97,1.56,-0.44,-4.37,0.00,-4.36,-1242.41,1.66,-0.34,-8.23,0.00,-3.38,-2339.69,-6.05,-7.05,-14.73,0.00,-70.49,-4188.73,1.87,-0.13,-3.87,0.00,-1.30,-1100.92,2.76,0.76,-8.00,0.00,7.65,-2273.49,-7.10,-8.10,-16.86,0.00,-81.00,-4794.38,0.35,-1.65,-5.06,0.00,-16.55,-1438.85,0.71,-0.29,-7.61,0.00,-2.91,-2164.31,-0.65,-3.65,-10.12,0.00,-36.52,-2878.96,-0.86,-2.86,-7.59,0.00,-28.63,-2159.06,-2.62,-3.62,-10.80,0.00,-36.20,-3070.34,-4.79,-5.79,-13.62,0.00,-57.94,-3871.85,0.25,-1.75,-5.74,0.00,-17.50,-1632.35,0.14,-0.86,-8.12,0.00,-8.55,-2307.72,-10.27,-11.27,-19.91,0.00,-112.70,-5662.14,Gabon,0.00,2.60,97.40,-1.40,-3.52,-7.51,-1.79,-3.09,-5.81,-1.42,-2.67,-4.84,-1.26,-2.59,-5.54,-1.66,-2.47,-3.32,-2.49,-3.54,-4.47,-1.88,-2.64,-6.56
Gambia,GA,GMB,,27030.00,26983.14,0.14,-1.86,-4.18,0.00,-502.42,-1128.40,-1.98,-2.98,-10.07,0.00,-806.47,-2717.24,-14.52,-15.52,-20.75,0.00,-4195.16,-5599.36,0.20,-1.80,-4.50,0.00,-486.26,-1212.96,-0.26,-2.26,-8.86,0.00,-610.54,-2389.37,-5.76,-6.76,-15.58,0.00,-1828.46,-4204.67,0.42,-1.58,-4.05,0.00,-427.09,-1091.85,0.97,-1.03,-7.47,0.00,-277.35,-2015.93,-4.17,-5.17,-14.01,0.00,-1398.35,-3781.41,0.84,-1.16,-3.53,0.00,-314.28,-953.46,1.85,-0.15,-7.03,0.00,-41.33,-1897.67,-4.31,-5.31,-14.69,0.00,-1434.40,-3962.95,-0.40,-2.40,-4.60,0.00,-648.75,-1241.97,-0.60,-1.60,-7.26,0.00,-433.03,-1959.53,-2.25,-5.25,-9.99,0.00,-1419.05,-2694.61,-1.33,-3.33,-6.19,0.00,-899.00,-1670.52,-2.58,-3.58,-9.16,0.00,-966.53,-2472.86,-4.49,-5.49,-12.40,0.00,-1483.21,-3345.48,-0.76,-2.76,-5.25,0.00,-744.97,-1417.03,-1.59,-2.59,-8.22,0.00,-700.02,-2218.00,-6.42,-7.42,-14.74,0.00,-2006.32,-3978.25,"Gambia, The",0.00,66.19,33.81,-0.88,-1.79,-5.76,-0.90,-1.50,-3.25,-0.80,-1.07,-2.72,-0.65,-0.83,-2.83,-1.05,-1.17,-2.28,-1.43,-1.82,-2.61,-1.20,-1.50,-3.30
Georgia,GG,GEO,193849.29,,356563.43,-4.91,-6.91,-7.91,-9508.63,0.00,-28186.93,-7.18,-8.18,-14.18,-13918.67,0.00,-50561.23,-3.83,-4.83,-13.83,-7432.82,0.00,-49328.16,-5.73,-7.73,-8.73,-11098.09,0.00,-31110.57,-6.30,-8.30,-13.30,-12216.08,0.00,-47429.51,-1.83,-2.83,-12.83,-3550.87,0.00,-45753.39,-4.40,-6.40,-7.40,-8534.74,0.00,-26395.58,-6.77,-8.77,-13.77,-13122.21,0.00,-49096.23,-3.00,-4.00,-14.00,-5809.20,0.00,-49907.33,-2.98,-4.98,-5.98,-5773.35,0.00,-21316.31,-6.83,-8.83,-13.83,-13232.36,0.00,-49298.84,-3.42,-4.42,-14.42,-6621.15,0.00,-51400.82,-7.88,-9.88,-10.88,-15284.12,0.00,-38810.28,-6.10,-7.10,-11.10,-11831.53,0.00,-39590.91,-8.41,-11.41,-14.41,-16297.49,0.00,-51371.16,-8.86,-10.86,-11.86,-17171.40,0.00,-42281.71,-7.17,-8.17,-12.17,-13900.41,0.00,-43396.38,-5.83,-6.83,-12.83,-11292.86,0.00,-45731.36,-5.99,-7.99,-8.99,-11605.44,0.00,-32043.77,-10.00,-11.00,-15.00,-19378.01,0.00,-53471.79,-7.38,-8.38,-14.38,-14297.70,0.00,-51258.41,Georgia,31.18,0.00,68.82,-2.32,-4.00,-3.57,-2.60,-3.71,-3.13,-2.16,-3.86,-3.52,-1.68,-3.88,-3.66,-3.32,-3.18,-4.18,-3.64,-3.54,-3.55,-2.68,-4.48,-4.06
Germany,GM,DEU,22297820.71,,3643521.57,4.19,2.19,-1.68,935221.84,0.00,-61116.85,9.28,8.28,-1.37,2069623.07,0.00,-50051.41,7.48,6.48,1.19,1668829.15,0.00,43374.50,5.67,3.67,-1.16,1263231.80,0.00,-42279.56,9.20,7.20,-1.32,2052156.94,0.00,-47987.35,13.14,12.14,0.45,2929549.62,0.00,16336.89,3.49,1.49,-0.72,777841.17,0.00,-26392.74,8.92,6.92,-1.66,1988183.35,0.00,-60315.96,13.15,12.15,0.77,2932793.20,0.00,27913.16,3.34,1.34,-1.48,745657.41,0.00,-53831.49,9.07,7.07,-1.81,2023083.20,0.00,-65954.62,13.51,12.51,0.44,3012745.57,0.00,16184.63,1.61,-0.39,-1.71,358335.66,0.00,-62460.00,5.28,4.28,-2.83,1177564.24,0.00,-103148.89,6.86,3.86,-3.21,1530425.77,0.00,-116936.67,3.66,2.31,-2.60,815308.12,0.00,-94820.76,5.13,4.13,-3.19,1143816.89,0.00,-116253.74,7.24,6.24,-1.42,1615202.86,0.00,-51604.25,3.16,1.16,-2.55,704260.22,0.00,-92731.33,5.50,4.50,-3.13,1226178.08,0.00,-113998.03,8.85,7.85,-1.35,1974188.68,0.00,-49055.03,Germany,86.62,0.00,13.38,1.14,2.62,2.21,1.58,2.60,3.81,0.97,2.50,3.83,0.90,2.54,3.92,0.39,1.40,1.84,0.94,1.34,2.03,0.80,1.45,2.50
Ghana,GH,GHA,,260130.43,1165270.57,-1.07,-3.07,-4.07,0.00,-7975.19,-47378.06,-2.38,-3.38,-9.38,0.00,-8796.72,-109321.71,-8.94,-9.94,-18.94,0.00,-25855.29,-220694.75,-0.50,-2.50,-3.50,0.00,-6514.87,-40836.48,-1.23,-3.23,-8.23,0.00,-8399.11,-95887.85,-2.53,-3.53,-13.53,0.00,-9170.88,-157608.57,-0.72,-2.72,-3.72,0.00,-7085.00,-43390.40,0.29,-1.71,-6.71,0.00,-4459.06,-78238.16,-2.30,-3.30,-13.30,0.00,-8577.64,-154951.14,-0.20,-2.20,-3.20,0.00,-5711.17,-37236.27,0.93,-1.07,-6.07,0.00,-2784.47,-70736.75,-1.51,-2.51,-12.51,0.00,-6537.38,-145811.66,-1.15,-3.15,-4.15,0.00,-8182.40,-48306.29,-1.91,-2.91,-6.91,0.00,-7577.24,-80553.56,-3.85,-6.85,-9.85,0.00,-17813.89,-114756.54,-1.79,-3.79,-4.79,0.00,-9856.83,-55806.99,-2.53,-3.53,-7.53,0.00,-9186.46,-87762.14,-4.18,-5.18,-11.18,0.00,-13476.51,-130285.12,-1.76,-3.76,-4.76,0.00,-9787.67,-55497.19,-3.32,-4.32,-8.32,0.00,-11248.98,-97001.32,-2.57,-3.57,-9.57,0.00,-9299.25,-111572.79,Ghana,0.00,17.63,82.37,-1.30,-2.77,-5.78,-1.11,-2.45,-3.92,-1.18,-1.94,-3.84,-1.01,-1.73,-3.58,-1.32,-2.07,-3.11,-1.54,-2.28,-3.37,-1.53,-2.54,-2.84
