"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLPRBUS","199111","1.78559","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199112","1.733324","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199113","21.636424","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199201","1.912575","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199202","1.785995","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199203","1.867112","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199204","1.792628","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199205","1.745108","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199206","1.740723","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199207","1.759429","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199208","1.838808","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199209","1.819368","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199210","1.87785","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199211","1.747036","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199212","1.807501","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199213","21.694132","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199301","1.74178","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199302","1.654312","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199303","1.838782","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199304","1.699961","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199305","1.585486","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199306","1.741009","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199307","1.524709","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199308","1.641951","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199309","1.721717","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199310","1.746732","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199311","1.714418","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199312","1.724796","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199313","20.335654","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199401","1.653429","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199402","1.759371","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199403","2.069239","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199404","1.887272","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199405","1.771421","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199406","1.86076","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199407","1.67204","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199408","2.026723","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199409","1.906248","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199410","1.837246","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199411","1.862961","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199412","1.895373","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199413","22.202083","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199501","1.90566","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199502","1.809241","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199503","2.005865","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199504","1.727368","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199505","1.796349","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199506","1.817216","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199507","1.717688","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199508","1.901985","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199509","1.90734","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199510","1.939535","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199511","1.858777","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199512","1.742527","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199513","22.12955","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199601","1.796439","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199602","1.810845","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199603","1.95751","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199604","1.907983","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199605","1.917099","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199606","1.815968","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199607","1.912976","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199608","2.037281","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199609","1.880233","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199610","2.029051","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199611","1.861906","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199612","1.862858","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199613","22.790148","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199701","1.98574","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199702","1.890863","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199703","1.98411","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199704","1.890446","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199705","2.025991","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199706","1.859166","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199707","1.908692","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199708","1.920083","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199709","1.982762","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199710","2.031691","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199711","1.791105","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199712","2.038965","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199713","23.309614","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199801","2.109645","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199802","1.875506","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199803","2.069152","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199804","1.980508","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199805","1.952215","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199806","1.989483","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199807","1.958933","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199808","1.972738","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199809","2.062224","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199810","2.090703","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199811","1.945846","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199812","2.038246","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199813","24.045198","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199901","1.937848","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199902","1.959623","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199903","2.092359","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199904","1.900155","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199905","1.813646","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199906","1.925871","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199907","1.876465","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199908","1.978927","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199909","1.97103","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199910","1.918471","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199911","1.955082","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199912","1.965608","1","Coal Production","Quadrillion Btu"
"CLPRBUS","199913","23.295084","1","Coal Production","Quadrillion Btu"
"CLPRBUS","200001","1.855655","1","Coal Production","Quadrillion Btu"
"CLPRBUS","200002","1.846984","1","Coal Production","Quadrillion Btu"
"CLPRBUS","200003","2.106475","1","Coal Production","Quadrillion Btu"
"CLPRBUS","200004","1.732611","1","Coal Production","Quadrillion Btu"
"CLPRBUS","200005","1.879543","1","Coal Production","Quadrillion Btu"
"CLPRBUS","200006","1.919697","1","Coal Production","Quadrillion Btu"
"CLPRBUS","200007","1.794655","1","Coal Production","Quadrillion Btu"
"CLPRBUS","200008","2.047172","1","Coal Production","Quadrillion Btu"
"CLPRBUS","200009","1.889379","1","Coal Production","Quadrillion Btu"
"CLPRBUS","200010","1.967912","1","Coal Production","Quadrillion Btu"
