"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLTCBUS","199208","1.708952","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199209","1.604886","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199210","1.551277","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199211","1.549587","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199212","1.700478","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199213","19.122471","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199301","1.694732","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199302","1.571442","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199303","1.642407","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199304","1.47171","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199305","1.477777","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199306","1.65183","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199307","1.879354","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199308","1.861654","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199309","1.613322","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199310","1.598503","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199311","1.616403","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199312","1.756016","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199313","19.835148","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199401","1.850167","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199402","1.609522","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199403","1.625221","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199404","1.476662","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199405","1.542882","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199406","1.756627","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199407","1.833751","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199408","1.815447","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199409","1.613611","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199410","1.579331","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199411","1.531004","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199412","1.675238","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199413","19.909463","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199501","1.734081","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199502","1.564076","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199503","1.56238","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199504","1.451528","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199505","1.525782","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199506","1.666155","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199507","1.892732","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199508","1.984136","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199509","1.663762","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199510","1.615666","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199511","1.642728","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199512","1.785701","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199513","20.088727","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199601","1.846331","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199602","1.674298","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199603","1.676263","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199604","1.51701","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199605","1.624761","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199606","1.754707","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199607","1.903677","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199608","1.92362","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199609","1.719606","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199610","1.722898","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199611","1.770365","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199612","1.868379","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199613","21.001914","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199701","1.931005","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199702","1.642436","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199703","1.674451","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199704","1.595009","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199705","1.629447","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199706","1.744437","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199707","1.988514","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","199708","1.941613","1","Coal Consumption","Quadrillion Btu"
